"","cpg_id","coef"
"1","intercept",17.1970101755666
"2","cg00021044",0.601537658631331
"3","cg00318519",0.800754743626609
"4","cg00475260",0.365695753228577
"5","cg00867329",-0.558419686722108
"6","cg01270709",0.392661534122013
"7","cg02659041",-0.296553285823203
"8","cg02827572",-1.00118915954379
"9","cg02947862",1.20677584608801
"10","cg03362798",0.274025562226129
"11","cg03628897",0.116613994374252
"12","cg04134973",0.213417357795262
"13","cg04254320",0.0532846711387675
"14","cg04484334",-0.696043457316928
"15","cg04496104",0.116301551907113
"16","cg04983687",0.0404128910890123
"17","cg06209210",0.00357026332778592
"18","cg06898293",0.637802018944925
"19","cg08113459",0.0233010544219553
"20","cg08189659",-0.0509931352907998
"21","cg08603382",-0.413872557939039
"22","cg08694149",-1.96387786348538
"23","cg08788860",0.559692305184658
"24","cg08865208",0.39681486006045
"25","cg08908135",0.54281540923927
"26","cg09705456",-0.0765379609845776
"27","cg09863786",0.41206667951842
"28","cg11139390",2.29773512756534
"29","cg11411904",0.379758156618076
"30","cg11514184",0.200070162539495
"31","cg12032620",0.319329462298875
"32","cg12037538",0.431057409038477
"33","cg13252915",1.09451646486946
"34","cg13483603",0.16493480594676
"35","cg13914464",0.411219285019912
"36","cg14037945",0.903022814139216
"37","cg14298379",0.861058397766728
"38","cg14722975",-0.386029144148113
"39","cg15030756",-1.0420340115939
"40","cg15859515",0.282810693198874
"41","cg16249010",0.611447997602231
"42","cg16453673",0.815546375873638
"43","cg16866485",0.64072294162822
"44","cg17196805",0.745024783173938
"45","cg18643383",0.230263214697255
"46","cg19249157",0.037297612393308
"47","cg19745637",0.225847617690187
"48","cg20498895",0.105107080945436
"49","cg20663688",0.430648953711007
"50","cg20666069",0.195542358884504
"51","cg22676693",0.201622284678994
"52","cg23561148",-0.0903840441621632
"53","cg23920445",0.072198959343385
"54","cg24326501",0.405250436650595
"55","cg24368962",1.49274971074652
"56","cg25666210",0.046432049181241
"57","cg26023751",0.308971408053641
"58","cg26202898",0.901573413687351
"59","cg26844459",0.334445123143335
"60","cg26973266",0.514394176127255
"61","cg27062369",0.817324190684614
"62","ch.17.1406968R",0.459152237121134
